unit,lev_limit,age,sex,geo,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
PC,NONE,Y16-24,T,RS,,11.6,15.3,14.8,16.2,20.7,23.9,29.0,30.8,,,
PC,NONE,Y16-24,T,SE,1.5,1.0,1.6,1.3,1.0,1.0,2.0,0.5,2.1,1.4,2.2,1.9
PC,NONE,Y16-24,T,SI,,2.7,2.4,3.2,5.3,4.7,3.7,5.3,5.9,5.3,6.1,5.4
PC,NONE,Y16-24,T,SK,,7.6,9.6,8.2,7.6,10.4,9.4,12.0,12.9,11.0,10.3,13.9
PC,NONE,Y16-24,T,TR,,30.2,29.5,29.4,31.3,36.1,29.2,29.7,45.1,58.5,59.5,61.5
PC,NONE,Y16-24,T,UK,,,,6.7,5.3 b,6.4,8.5,11.1,11.9,12.2,7.2,6.6
PC,NONE,Y16-24,T,XK,,,,43.7,,,,,,,,
PC,NONE,Y16-29,F,AL,,31.7,33.5,37.2,38.1,,,,,,,
PC,NONE,Y16-29,F,AT,1.4,2.0,2.6,2.4,3.0,3.5,2.2,3.6,4.0,3.8,3.6,5.7
PC,NONE,Y16-29,F,BE,2.9,3.9,5.1 b,5.8,4.7,5.5,6.9,7.1,6.8,6.5,4.6,7.0
PC,NONE,Y16-29,F,BG,16.7,18.9,18.9,18.4,31.4,33.0,33.0,31.2,40.8,43.9,41.3,43.4
PC,NONE,Y16-29,F,CH,,0.5,1.3,1.0,0.8,3.1,1.3,1.0,0.6,1.2,1.3,1.4
PC,NONE,Y16-29,F,CY,,8.7,11.5,10.9,14.2,17.1,18.9,18.8,18.6,17.7,11.8,12.9
PC,NONE,Y16-29,F,CZ,2.6,3.7,3.8,4.0,3.2,6.1,6.9,7.1,8.2,7.4,5.6,7.6
PC,NONE,Y16-29,F,DE,4.5,5.4 b,2.6,2.9,3.9,3.3,4.0,4.6,5.0,3.6,5.4,5.0
PC,NONE,Y16-29,F,DK,1.4,2.7,1.4,5.5,3.4,2.1,7.4,4.2,5.1,3.1,2.1,3.9
PC,NONE,Y16-29,F,EA,,6.4,5.1,5.8 e,6.3 e,7.0 e,7.3 e,7.9 e,8.3 e,8.3 e,7.4 e,6.8 e
PC,NONE,Y16-29,F,EA18,,6.4,5.0,5.8,6.3,6.9,7.2,7.9,8.3,8.5,7.6,6.9
PC,NONE,Y16-29,F,EA19,,6.4,5.1,5.8,6.3,7.0,7.3,8.0,8.4,8.5,7.7,7.1
PC,NONE,Y16-29,F,EE,0.7,2.1,1.6,3.2,2.2,2.9,2.9,5.4,6.1,7.9,8.3,8.6
PC,NONE,Y16-29,F,EL,,21.3,19.5,19.7,25.6,29.0,28.0,28.7,26.9,25.1,20.2,15.9
PC,NONE,Y16-29,F,ES,9.0,8.3,5.8,6.8,6.8,8.5,8.2,8.5,7.5,6.8,6.5,6.6
PC,NONE,Y16-29,F,EU,,,5.6 e,6.3,7.1,7.9,8.4,9.5,10.8,11.1,9.8,9.5
PC,NONE,Y16-29,F,EU27_2007,,,5.6 e,6.3,7.1,7.9,8.4,9.5,10.7,11.0,9.8,9.5
PC,NONE,Y16-29,F,EU27_2020,,6.5,5.5 e,6.4 e,7.3 e,8.3 e,8.7 e,9.6 e,10.8 e,11.1 e,10.2 e,9.8 e
PC,NONE,Y16-29,F,EU28,,,5.6 e,6.3,7.1,7.9,8.4,9.5,10.8,11.1,9.8,9.5
PC,NONE,Y16-29,F,FI,3.4,3.4,1.7,2.3,2.7,2.1,2.1,4.5,3.2,4.4,4.3,4.1
PC,NONE,Y16-29,F,FR,,5.8 b,4.3,5.2,4.7,4.3,4.8,5.3,5.9,7.1,6.3,6.3
PC,NONE,Y16-29,F,HR,4.4,4.4,5.2,6.3,7.7,11.3,12.8,14.7,14.0,17.1,15.0,12.4
