unit,lev_limit,lev_satis,age,sex,geo\time,i,v,flag
PC_POP,NONE,GOOD,Y16-29,M,EU28,2012,57.2,
PC_POP,NONE,GOOD,Y16-29,M,FI,2012,57.6,
PC_POP,NONE,GOOD,Y16-29,M,FI,2007,59.6,
PC_POP,NONE,GOOD,Y16-29,M,FR,2012,43.3,
PC_POP,NONE,GOOD,Y16-29,M,FR,2007,59.2,
PC_POP,NONE,GOOD,Y16-29,M,HR,2012,75.2,
PC_POP,NONE,GOOD,Y16-29,M,HU,2012,67.2,
PC_POP,NONE,GOOD,Y16-29,M,HU,2007,47.9,
PC_POP,NONE,GOOD,Y16-29,M,IE,2012,46.0,
PC_POP,NONE,GOOD,Y16-29,M,IE,2007,44.6,
PC_POP,NONE,GOOD,Y16-29,M,IS,2012,44.2,
PC_POP,NONE,GOOD,Y16-29,M,IS,2007,25.6,
PC_POP,NONE,GOOD,Y16-29,M,IT,2012,71.4,
PC_POP,NONE,GOOD,Y16-29,M,IT,2007,64.8,
PC_POP,NONE,GOOD,Y16-29,M,LT,2012,73.0,
PC_POP,NONE,GOOD,Y16-29,M,LT,2007,51.9,
PC_POP,NONE,GOOD,Y16-29,M,LU,2012,41.3,
PC_POP,NONE,GOOD,Y16-29,M,LU,2007,40.3,
PC_POP,NONE,GOOD,Y16-29,M,LV,2012,70.8,
PC_POP,NONE,GOOD,Y16-29,M,LV,2007,62.3,
PC_POP,NONE,GOOD,Y16-29,M,MT,2012,60.5,
PC_POP,NONE,GOOD,Y16-29,M,MT,2007,69.1,
PC_POP,NONE,GOOD,Y16-29,M,NL,2012,34.5,
PC_POP,NONE,GOOD,Y16-29,M,NL,2007,35.5,
PC_POP,NONE,GOOD,Y16-29,M,NO,2012,50.2,
PC_POP,NONE,GOOD,Y16-29,M,NO,2007,52.9,
PC_POP,NONE,GOOD,Y16-29,M,PL,2012,64.5,
PC_POP,NONE,GOOD,Y16-29,M,PL,2007,70.1,
PC_POP,NONE,GOOD,Y16-29,M,PT,2012,70.2,
PC_POP,NONE,GOOD,Y16-29,M,PT,2007,59.8,
PC_POP,NONE,GOOD,Y16-29,M,RO,2012,82.3,
PC_POP,NONE,GOOD,Y16-29,M,RO,2007,17.4,
PC_POP,NONE,GOOD,Y16-29,M,SE,2012,41.5,
PC_POP,NONE,GOOD,Y16-29,M,SE,2007,47.1,
PC_POP,NONE,GOOD,Y16-29,M,SI,2012,59.4,
PC_POP,NONE,GOOD,Y16-29,M,SI,2007,59.0,
PC_POP,NONE,GOOD,Y16-29,M,SK,2012,77.3,
PC_POP,NONE,GOOD,Y16-29,M,SK,2007,61.8,
PC_POP,NONE,GOOD,Y16-29,M,TR,2007,51.5,
PC_POP,NONE,GOOD,Y16-29,M,UK,2012,48.4,
PC_POP,NONE,GOOD,Y16-29,M,UK,2007,41.6,
PC_POP,NONE,GOOD,Y16-29,T,AT,2012,40.9,
PC_POP,NONE,GOOD,Y16-29,T,AT,2007,47.9,
PC_POP,NONE,GOOD,Y16-29,T,BE,2012,51.7,
PC_POP,NONE,GOOD,Y16-29,T,BE,2007,50.1,
PC_POP,NONE,GOOD,Y16-29,T,BG,2012,70.3,
PC_POP,NONE,GOOD,Y16-29,T,BG,2007,53.9,
PC_POP,NONE,GOOD,Y16-29,T,CH,2012,43.7,
PC_POP,NONE,GOOD,Y16-29,T,CH,2007,36.9,
PC_POP,NONE,GOOD,Y16-29,T,CY,2012,65.0,
PC_POP,NONE,GOOD,Y16-29,T,CY,2007,62.2,
PC_POP,NONE,GOOD,Y16-29,T,CZ,2012,67.0,u
PC_POP,NONE,GOOD,Y16-29,T,CZ,2007,70.5,
PC_POP,NONE,GOOD,Y16-29,T,DE,2012,54.6,
PC_POP,NONE,GOOD,Y16-29,T,DE,2007,39.2,
PC_POP,NONE,GOOD,Y16-29,T,DK,2012,37.4,
PC_POP,NONE,GOOD,Y16-29,T,DK,2007,34.0,
PC_POP,NONE,GOOD,Y16-29,T,EE,2012,63.8,
PC_POP,NONE,GOOD,Y16-29,T,EE,2007,54.9,
PC_POP,NONE,GOOD,Y16-29,T,EL,2012,67.0,
PC_POP,NONE,GOOD,Y16-29,T,EL,2007,68.5,
PC_POP,NONE,GOOD,Y16-29,T,ES,2012,61.9,
PC_POP,NONE,GOOD,Y16-29,T,ES,2007,66.0,
PC_POP,NONE,GOOD,Y16-29,T,EU27_2007,2012,56.9,
PC_POP,NONE,GOOD,Y16-29,T,EU27_2007,2007,52.7,
PC_POP,NONE,GOOD,Y16-29,T,EU28,2012,57.1,
PC_POP,NONE,GOOD,Y16-29,T,FI,2012,55.3,
PC_POP,NONE,GOOD,Y16-29,T,FI,2007,55.3,
PC_POP,NONE,GOOD,Y16-29,T,FR,2012,42.1,
PC_POP,NONE,GOOD,Y16-29,T,FR,2007,58.0,
