unit,incgrp,lev_limit,tenure,geo\time,i,v,flag
PC,A_MD60,NONE,OWN,EU,2007,76.0,
PC,A_MD60,NONE,OWN,EU,2005,71.2,
PC,A_MD60,NONE,OWN,EU27_2007,2019,73.3,e
PC,A_MD60,NONE,OWN,EU27_2007,2018,73.5,
PC,A_MD60,NONE,OWN,EU27_2007,2017,73.4,
PC,A_MD60,NONE,OWN,EU27_2007,2016,73.4,
PC,A_MD60,NONE,OWN,EU27_2007,2015,73.6,
PC,A_MD60,NONE,OWN,EU27_2007,2014,74.7,
PC,A_MD60,NONE,OWN,EU27_2007,2013,74.7,
PC,A_MD60,NONE,OWN,EU27_2007,2012,75.1,
PC,A_MD60,NONE,OWN,EU27_2007,2011,74.7,
PC,A_MD60,NONE,OWN,EU27_2007,2010,75.0,
PC,A_MD60,NONE,OWN,EU27_2007,2009,76.9,e
PC,A_MD60,NONE,OWN,EU27_2007,2008,76.7,e
PC,A_MD60,NONE,OWN,EU27_2007,2007,76.0,e
PC,A_MD60,NONE,OWN,EU27_2020,2020,76.1,
PC,A_MD60,NONE,OWN,EU27_2020,2019,73.6,e
PC,A_MD60,NONE,OWN,EU27_2020,2018,73.8,e
PC,A_MD60,NONE,OWN,EU27_2020,2017,73.7,e
PC,A_MD60,NONE,OWN,EU27_2020,2016,74.0,e
PC,A_MD60,NONE,OWN,EU27_2020,2015,74.0,e
PC,A_MD60,NONE,OWN,EU27_2020,2014,75.4,e
PC,A_MD60,NONE,OWN,EU27_2020,2013,75.3,e
PC,A_MD60,NONE,OWN,EU27_2020,2012,75.4,e
PC,A_MD60,NONE,OWN,EU27_2020,2011,74.7,e
PC,A_MD60,NONE,OWN,EU27_2020,2010,74.7,e
PC,A_MD60,NONE,OWN,EU28,2019,73.5,e
PC,A_MD60,NONE,OWN,EU28,2018,73.7,
PC,A_MD60,NONE,OWN,EU28,2017,73.5,
PC,A_MD60,NONE,OWN,EU28,2016,73.6,
PC,A_MD60,NONE,OWN,EU28,2015,73.7,
PC,A_MD60,NONE,OWN,EU28,2014,74.8,
PC,A_MD60,NONE,OWN,EU28,2013,74.8,
PC,A_MD60,NONE,OWN,EU28,2012,75.2,
PC,A_MD60,NONE,OWN,EU28,2011,74.7,
PC,A_MD60,NONE,OWN,EU28,2010,75.0,
PC,A_MD60,NONE,OWN,FI,2021,73.0,
PC,A_MD60,NONE,OWN,FI,2020,74.8,
PC,A_MD60,NONE,OWN,FI,2019,74.4,
PC,A_MD60,NONE,OWN,FI,2018,75.3,
PC,A_MD60,NONE,OWN,FI,2017,74.5,
PC,A_MD60,NONE,OWN,FI,2016,75.1,
PC,A_MD60,NONE,OWN,FI,2015,76.5,
PC,A_MD60,NONE,OWN,FI,2014,77.1,
PC,A_MD60,NONE,OWN,FI,2013,76.6,
PC,A_MD60,NONE,OWN,FI,2012,77.1,
PC,A_MD60,NONE,OWN,FI,2011,77.6,
PC,A_MD60,NONE,OWN,FI,2010,77.8,
PC,A_MD60,NONE,OWN,FI,2009,78.2,
PC,A_MD60,NONE,OWN,FI,2008,76.6,
PC,A_MD60,NONE,OWN,FI,2007,75.1,
PC,A_MD60,NONE,OWN,FI,2006,75.1,
PC,A_MD60,NONE,OWN,FI,2005,74.8,
PC,A_MD60,NONE,OWN,FR,2020,70.4,b
PC,A_MD60,NONE,OWN,FR,2019,69.6,
PC,A_MD60,NONE,OWN,FR,2018,70.4,
PC,A_MD60,NONE,OWN,FR,2017,68.9,
PC,A_MD60,NONE,OWN,FR,2016,69.4,
PC,A_MD60,NONE,OWN,FR,2015,67.7,
PC,A_MD60,NONE,OWN,FR,2014,69.2,
PC,A_MD60,NONE,OWN,FR,2013,68.9,
PC,A_MD60,NONE,OWN,FR,2012,68.0,
PC,A_MD60,NONE,OWN,FR,2011,67.2,
PC,A_MD60,NONE,OWN,FR,2010,66.5,
PC,A_MD60,NONE,OWN,FR,2009,66.6,
PC,A_MD60,NONE,OWN,FR,2008,65.7,
PC,A_MD60,NONE,OWN,FR,2007,63.1,
PC,A_MD60,NONE,OWN,FR,2006,65.2,
PC,A_MD60,NONE,OWN,FR,2005,64.8,
PC,A_MD60,NONE,OWN,HR,2021,91.1,
PC,A_MD60,NONE,OWN,HR,2020,91.8,
PC,A_MD60,NONE,OWN,HR,2019,90.0,
PC,A_MD60,NONE,OWN,HR,2018,90.7,
PC,A_MD60,NONE,OWN,HR,2017,91.9,
PC,A_MD60,NONE,OWN,HR,2016,91.0,
PC,A_MD60,NONE,OWN,HR,2015,90.6,
PC,A_MD60,NONE,OWN,HR,2014,90.0,
PC,A_MD60,NONE,OWN,HR,2013,89.5,
PC,A_MD60,NONE,OWN,HR,2012,90.6,
PC,A_MD60,NONE,OWN,HR,2011,89.7,
PC,A_MD60,NONE,OWN,HR,2010,85.7,
PC,A_MD60,NONE,OWN,HU,2020,92.6,
PC,A_MD60,NONE,OWN,HU,2019,92.0,
PC,A_MD60,NONE,OWN,HU,2018,87.7,
PC,A_MD60,NONE,OWN,HU,2017,85.9,
PC,A_MD60,NONE,OWN,HU,2016,87.4,
PC,A_MD60,NONE,OWN,HU,2015,88.0,
PC,A_MD60,NONE,OWN,HU,2014,89.6,
PC,A_MD60,NONE,OWN,HU,2013,90.1,
PC,A_MD60,NONE,OWN,HU,2012,91.1,
PC,A_MD60,NONE,OWN,HU,2011,90.6,
PC,A_MD60,NONE,OWN,HU,2010,90.7,
PC,A_MD60,NONE,OWN,HU,2009,91.1,
PC,A_MD60,NONE,OWN,HU,2008,90.1,
PC,A_MD60,NONE,OWN,HU,2007,89.6,
PC,A_MD60,NONE,OWN,HU,2006,89.0,
PC,A_MD60,NONE,OWN,HU,2005,89.1,
PC,A_MD60,NONE,OWN,IE,2021,75.3,
PC,A_MD60,NONE,OWN,IE,2020,76.1,b
PC,A_MD60,NONE,OWN,IE,2019,74.6,
PC,A_MD60,NONE,OWN,IE,2018,76.3,
PC,A_MD60,NONE,OWN,IE,2017,76.4,
PC,A_MD60,NONE,OWN,IE,2016,76.1,
PC,A_MD60,NONE,OWN,IE,2015,76.0,
PC,A_MD60,NONE,OWN,IE,2014,74.3,
PC,A_MD60,NONE,OWN,IE,2013,75.2,
PC,A_MD60,NONE,OWN,IE,2012,75.5,
PC,A_MD60,NONE,OWN,IE,2011,77.1,
PC,A_MD60,NONE,OWN,IE,2010,79.0,
PC,A_MD60,NONE,OWN,IE,2009,78.8,
PC,A_MD60,NONE,OWN,IE,2008,80.9,
PC,A_MD60,NONE,OWN,IE,2007,83.0,
PC,A_MD60,NONE,OWN,IE,2006,83.3,
PC,A_MD60,NONE,OWN,IE,2005,83.9,
PC,A_MD60,NONE,OWN,IS,2018,83.8,
PC,A_MD60,NONE,OWN,IS,2017,84.6,
PC,A_MD60,NONE,OWN,IS,2016,83.8,
PC,A_MD60,NONE,OWN,IS,2015,83.5,
PC,A_MD60,NONE,OWN,IS,2014,82.2,
PC,A_MD60,NONE,OWN,IS,2013,81.7,
PC,A_MD60,NONE,OWN,IS,2012,81.2,
PC,A_MD60,NONE,OWN,IS,2011,82.2,
PC,A_MD60,NONE,OWN,IS,2010,85.6,
PC,A_MD60,NONE,OWN,IS,2009,87.9,
PC,A_MD60,NONE,OWN,IS,2008,89.4,
PC,A_MD60,NONE,OWN,IS,2007,88.5,
PC,A_MD60,NONE,OWN,IS,2006,88.9,
PC,A_MD60,NONE,OWN,IS,2005,89.2,
PC,A_MD60,NONE,OWN,IT,2021,78.1,p
PC,A_MD60,NONE,OWN,IT,2020,79.3,
PC,A_MD60,NONE,OWN,IT,2019,76.9,
PC,A_MD60,NONE,OWN,IT,2018,76.7,
PC,A_MD60,NONE,OWN,IT,2017,76.7,
PC,A_MD60,NONE,OWN,IT,2016,77.5,
PC,A_MD60,NONE,OWN,IT,2015,77.9,
PC,A_MD60,NONE,OWN,IT,2014,77.3,
PC,A_MD60,NONE,OWN,IT,2013,77.5,
PC,A_MD60,NONE,OWN,IT,2012,77.7,
PC,A_MD60,NONE,OWN,IT,2011,77.1,
PC,A_MD60,NONE,OWN,IT,2010,76.8,
PC,A_MD60,NONE,OWN,IT,2009,76.4,
PC,A_MD60,NONE,OWN,IT,2008,76.4,
PC,A_MD60,NONE,OWN,IT,2007,77.1,
PC,A_MD60,NONE,OWN,IT,2006,76.8,
PC,A_MD60,NONE,OWN,IT,2005,77.1,
PC,A_MD60,NONE,OWN,LT,2020,90.4,
PC,A_MD60,NONE,OWN,LT,2019,92.6,
PC,A_MD60,NONE,OWN,LT,2018,92.5,
PC,A_MD60,NONE,OWN,LT,2017,92.5,
PC,A_MD60,NONE,OWN,LT,2016,92.5,
PC,A_MD60,NONE,OWN,LT,2015,91.6,
PC,A_MD60,NONE,OWN,LT,2014,92.0,
PC,A_MD60,NONE,OWN,LT,2013,93.8,
PC,A_MD60,NONE,OWN,LT,2012,93.4,
PC,A_MD60,NONE,OWN,LT,2011,94.5,
PC,A_MD60,NONE,OWN,LT,2010,95.2,
PC,A_MD60,NONE,OWN,LT,2009,93.6,
PC,A_MD60,NONE,OWN,LT,2008,93.9,
PC,A_MD60,NONE,OWN,LT,2007,90.8,
PC,A_MD60,NONE,OWN,LT,2006,93.1,
PC,A_MD60,NONE,OWN,LT,2005,90.8,
PC,A_MD60,NONE,OWN,LU,2020,74.4,b
PC,A_MD60,NONE,OWN,LU,2019,74.4,
PC,A_MD60,NONE,OWN,LU,2018,75.7,
PC,A_MD60,NONE,OWN,LU,2017,79.0,
PC,A_MD60,NONE,OWN,LU,2016,78.9,
PC,A_MD60,NONE,OWN,LU,2015,79.4,
PC,A_MD60,NONE,OWN,LU,2014,77.7,
PC,A_MD60,NONE,OWN,LU,2013,78.4,
PC,A_MD60,NONE,OWN,LU,2012,76.1,
PC,A_MD60,NONE,OWN,LU,2011,73.4,
