unit,hlth_pb,age,sex,time\geo,i,v,flag
PC,PB1040,Y55-64,T,2011,PT,46.2,
PC,PB1040,Y55-64,T,2011,RO,24.8,
PC,PB1040,Y55-64,T,2011,SI,25.5,
PC,PB1040,Y55-64,T,2011,SK,22.1,
PC,PB1040,Y55-64,T,2011,FI,50.2,
PC,PB1040,Y55-64,T,2011,SE,67.2,
PC,PB1040,Y55-64,T,2011,IS,68.4,
PC,PB1040,Y55-64,T,2011,CH,58.9,
PC,PB1040,Y55-64,T,2011,UK,40.8,
PC,PB1040,Y55-64,T,2011,TR,29.0,
PC,PB1041,Y15-24,F,2011,EU28,39.4,
PC,PB1041,Y15-24,F,2011,BE,28.2,
PC,PB1041,Y15-24,F,2011,BG,25.4,
PC,PB1041,Y15-24,F,2011,CZ,24.0,
PC,PB1041,Y15-24,F,2011,DK,70.3,
PC,PB1041,Y15-24,F,2011,DE,45.6,
PC,PB1041,Y15-24,F,2011,EE,36.5,
PC,PB1041,Y15-24,F,2011,IE,41.7,
PC,PB1041,Y15-24,F,2011,EL,26.4,
PC,PB1041,Y15-24,F,2011,ES,43.5,
PC,PB1041,Y15-24,F,2011,FR,33.6,
PC,PB1041,Y15-24,F,2011,HR,22.2,
PC,PB1041,Y15-24,F,2011,IT,22.7,
PC,PB1041,Y15-24,F,2011,CY,37.9,
PC,PB1041,Y15-24,F,2011,LV,35.2,
PC,PB1041,Y15-24,F,2011,LT,23.1,
PC,PB1041,Y15-24,F,2011,LU,22.9,
PC,PB1041,Y15-24,F,2011,HU,21.2,
PC,PB1041,Y15-24,F,2011,MT,44.7,
PC,PB1041,Y15-24,F,2011,NL,71.4,
PC,PB1041,Y15-24,F,2011,AT,52.7,
PC,PB1041,Y15-24,F,2011,PL,28.4,
PC,PB1041,Y15-24,F,2011,PT,35.4,
PC,PB1041,Y15-24,F,2011,RO,27.6,
PC,PB1041,Y15-24,F,2011,SI,30.7,
PC,PB1041,Y15-24,F,2011,SK,21.8,
PC,PB1041,Y15-24,F,2011,FI,51.4,
PC,PB1041,Y15-24,F,2011,SE,52.1,
PC,PB1041,Y15-24,F,2011,IS,90.9,
PC,PB1041,Y15-24,F,2011,CH,67.0,
PC,PB1041,Y15-24,F,2011,UK,62.3,
PC,PB1041,Y15-24,F,2011,TR,26.3,
PC,PB1041,Y15-24,M,2011,EU28,45.9,
PC,PB1041,Y15-24,M,2011,BE,31.9,
PC,PB1041,Y15-24,M,2011,BG,34.2,
PC,PB1041,Y15-24,M,2011,CZ,35.7,
PC,PB1041,Y15-24,M,2011,DK,68.5,
PC,PB1041,Y15-24,M,2011,DE,49.7,
PC,PB1041,Y15-24,M,2011,EE,43.5,
PC,PB1041,Y15-24,M,2011,IE,43.0,
PC,PB1041,Y15-24,M,2011,EL,32.2,
PC,PB1041,Y15-24,M,2011,ES,46.7,
PC,PB1041,Y15-24,M,2011,FR,41.3,
PC,PB1041,Y15-24,M,2011,HR,39.3,
PC,PB1041,Y15-24,M,2011,IT,30.7,
PC,PB1041,Y15-24,M,2011,CY,41.9,
PC,PB1041,Y15-24,M,2011,LV,43.1,
PC,PB1041,Y15-24,M,2011,LT,32.2,
PC,PB1041,Y15-24,M,2011,LU,25.3,
PC,PB1041,Y15-24,M,2011,HU,27.2,
PC,PB1041,Y15-24,M,2011,MT,55.9,
PC,PB1041,Y15-24,M,2011,NL,68.9,
PC,PB1041,Y15-24,M,2011,AT,62.7,
PC,PB1041,Y15-24,M,2011,PL,39.5,
PC,PB1041,Y15-24,M,2011,PT,40.2,
PC,PB1041,Y15-24,M,2011,RO,36.5,
PC,PB1041,Y15-24,M,2011,SI,40.4,
PC,PB1041,Y15-24,M,2011,SK,38.3,
PC,PB1041,Y15-24,M,2011,FI,51.1,
