regione,Minori (0-17 anni),Anziani (65 anni e più),Persone con disabilità,Ospiti con problemi di salute mentale,Altra utenza,Non indicato,g1UP091FC09OG2000000
Abruzzo,65.7,1241.9,57.9,21.3,45.2,0,g1UU091FI09OG2000000
Molise,90.6,1935.3,51.6,34.1,34.3,0,g1UU091FI09OG2000000
Campania,54.8,671.2,39.5,1.7,27.6,0,g1UU091FI09OG2000000
Puglia,169.5,1208.8,38.8,28.2,53,0,g1UU091FI09OG2000000
Basilicata,238.3,1479.2,193.6,3.5,52.2,0,g1UU091FI09OG2000000
Calabria,165.9,968.1,44.8,28,87.1,0,g1UU091FI09OG2000000
Sicilia,349.1,1380.6,43.3,44.4,109,0,g1UU091FI09OG2000000
Sardegna,178.9,1633.5,78.4,64.3,47.7,0,g1UU091FI09OG2000000
Piemonte,1298,38527,3557,1823,1353,131,g1UV091FC09OG2000000
Valle d'Aosta / Vallée d'Aoste,29,1038,32,152,106,0,g1UV091FC09OG2000000
Liguria,715,11421,1731,1322,2096,0,g1UV091FC09OG2000000
Lombardia,2261,61216,5409,3487,7130,0,g1UV091FC09OG2000000
Trentino Alto Adige / Südtirol,431,9065,842,795,2145,0,g1UV091FC09OG2000000
Veneto,876,32967,3237,792,2471,0,g1UV091FC09OG2000000
Friuli-Venezia Giulia,283,9874,1109,601,514,0,g1UV091FC09OG2000000
Emilia-Romagna,3014,31491,2935,398,2619,0,g1UV091FC09OG2000000
Toscana,1141,17402,1399,934,1870,137,g1UV091FC09OG2000000
Umbria,202,2916,386,216,855,0,g1UV091FC09OG2000000
Marche,653,8520,659,768,1501,2,g1UV091FC09OG2000000
Lazio,2039,14731,2913,1585,2945,12,g1UV091FC09OG2000000
Abruzzo,110,3916,514,112,715,0,g1UV091FC09OG2000000
Molise,27,1531,0,57,101,0,g1UV091FC09OG2000000
Campania,570,5650,1770,441,1463,0,g1UV091FC09OG2000000
Puglia,970,9129,855,283,2252,0,g1UV091FC09OG2000000
Basilicata,295,2168,72,330,475,0,g1UV091FC09OG2000000
Calabria,431,3658,804,227,1602,0,g1UV091FC09OG2000000
Sicilia,3314,16226,1914,1168,4078,0,g1UV091FC09OG2000000
Sardegna,451,5447,994,738,750,0,g1UV091FC09OG2000000
Piemonte,191.3,3530,107.4,41.4,30.7,3,g1UV091FI09OG2000000
Valle d'Aosta / Vallée d'Aoste,138.1,3570,32.6,119.4,83.2,0,g1UV091FI09OG2000000
Liguria,328.2,2575.4,153.5,84.1,133.4,0,g1UV091FI09OG2000000
Lombardia,134.2,2791.4,69.2,34.8,71.2,0,g1UV091FI09OG2000000
Trentino Alto Adige / Südtirol,218.4,4251.4,99.5,75.1,202.5,0,g1UV091FI09OG2000000
Veneto,107,3048.6,84.4,16.1,50.3,0,g1UV091FI09OG2000000
Friuli-Venezia Giulia,154.5,3175.4,121.8,49.2,42.1,0,g1UV091FI09OG2000000
Emilia-Romagna,423,2999.6,86.4,9,58.9,0,g1UV091FI09OG2000000
Toscana,199.4,1865.1,49.8,25,49.9,3.7,g1UV091FI09OG2000000
Umbria,146.9,1319.5,57.6,24.3,95.9,0,g1UV091FI09OG2000000
Marche,268.4,2296.8,56.2,49.7,97.2,0.2,g1UV091FI09OG2000000
Lazio,211.1,1193,62.6,26.9,50,0.2,g1UV091FI09OG2000000
Abruzzo,53.5,1286.6,50.3,8.4,53.9,0,g1UV091FI09OG2000000
Molise,59.8,2077,0,18.4,32.4,0,g1UV091FI09OG2000000
Campania,52.2,540.6,36.8,7.5,25,0,g1UV091FI09OG2000000
Puglia,140.2,1071,26.5,6.9,55.2,0,g1UV091FI09OG2000000
Basilicata,333,1723.5,16.1,57.5,82.8,0,g1UV091FI09OG2000000
Calabria,131.3,903.6,51.3,11.5,81.3,0,g1UV091FI09OG2000000
Sicilia,374.3,1583.3,47.3,23,80.4,0,g1UV091FI09OG2000000
Sardegna,190,1485.4,77,44.5,45.2,0,g1UV091FI09OG2000000
Piemonte,1402,43558,4130,654,1858,0,g1V0091FC09OG2000000
Valle d'Aosta / Vallée d'Aoste,33,1034,33,165,91,0,g1V0091FC09OG2000000
Liguria,683,12738,1693,1463,1493,0,g1V0091FC09OG2000000
Lombardia,2820,66735,6394,3773,6049,10,g1V0091FC09OG2000000
Trentino Alto Adige / Südtirol,519,9544,900,409,3143,0,g1V0091FC09OG2000000
Veneto,1160,35105,3654,1715,1670,0,g1V0091FC09OG2000000
Friuli-Venezia Giulia,322,11078,1148,375,508,0,g1V0091FC09OG2000000
Emilia-Romagna,2382,28829,2552,418,3397,0,g1V0091FC09OG2000000
Toscana,1429,16675,1857,930,2222,3,g1V0091FC09OG2000000
Umbria,270,3445,526,598,1088,0,g1V0091FC09OG2000000
Marche,728,11232,872,131,928,0,g1V0091FC09OG2000000
Lazio,2026,15032,3327,1334,3391,0,g1V0091FC09OG2000000
Abruzzo,142,4625,905,576,245,0,g1V0091FC09OG2000000
Molise,93,1469,16,164,136,0,g1V0091FC09OG2000000
Campania,733,5553,1779,892,1169,0,g1V0091FC09OG2000000
Puglia,1163,9460,1481,1221,1715,0,g1V0091FC09OG2000000
Basilicata,361,2373,363,320,171,0,g1V0091FC09OG2000000
Calabria,509,3918,789,615,1429,0,g1V0091FC09OG2000000
Sicilia,3800,12631,2269,3111,4358,0,g1V0091FC09OG2000000
Sardegna,654,5986,794,429,873,0,g1V0091FC09OG2000000
Piemonte,208.7,3959.6,125.4,14.9,42.3,0,g1V0091FI09OG2000000
Valle d'Aosta / Vallée d'Aoste,158.7,3513.9,33.9,130,71.7,0,g1V0091FI09OG2000000
Liguria,316.6,2870.3,151,93.5,95.4,0,g1V0091FI09OG2000000
Lombardia,168.2,3002.9,82,37.7,60.4,0.1,g1V0091FI09OG2000000
Trentino Alto Adige / Südtirol,264.2,4408,106.3,38.5,295.7,0,g1V0091FI09OG2000000
Veneto,143.3,3201.8,95.9,35,34,0,g1V0091FI09OG2000000
Friuli-Venezia Giulia,177.5,3534.4,126.9,30.8,41.7,0,g1V0091FI09OG2000000
Emilia-Romagna,335.3,2728.1,75.2,9.4,76.4,0,g1V0091FI09OG2000000
Toscana,251.1,1774.6,66.3,24.8,59.4,0.1,g1V0091FI09OG2000000
Umbria,197.8,1546,78.9,67.3,122.4,0,g1V0091FI09OG2000000
Marche,302.6,3004.4,74.9,8.5,60.3,0,g1V0091FI09OG2000000
Lazio,210.4,1203.5,71.6,22.6,57.5,0,g1V0091FI09OG2000000
Abruzzo,70,1503.1,89.2,43.6,18.5,0,g1V0091FI09OG2000000
Molise,209.7,1974.9,6.8,52.9,43.7,0,g1V0091FI09OG2000000
Campania,68.2,522.6,37.3,15.3,20,0,g1V0091FI09OG2000000
Puglia,171.1,1090.8,46.3,30,42.2,0,g1V0091FI09OG2000000
Basilicata,415.2,1866.8,81.9,56.1,30,0,g1V0091FI09OG2000000
Calabria,156.8,952.8,50.8,31.3,72.7,0,g1V0091FI09OG2000000
Sicilia,435.8,1215.2,56.5,61.5,86.2,0,g1V0091FI09OG2000000
Sardegna,279.3,1597.6,62.1,25.9,52.8,0,g1V0091FI09OG2000000
Piemonte,1659,43118,3722,625,1409,0,g1V1091FC09OG2000000
Valle d'Aosta / Vallée d'Aoste,38,1065,42,185,117,0,g1V1091FC09OG2000000
Liguria,733,12803,1651,1342,1268,0,g1V1091FC09OG2000000
Lombardia,2873,68037,5673,3954,5112,7,g1V1091FC09OG2000000
Trentino Alto Adige / Südtirol,578,9686,817,376,2983,0,g1V1091FC09OG2000000
Veneto,1165,35733,3582,1627,1413,0,g1V1091FC09OG2000000
Friuli-Venezia Giulia,455,11852,925,315,394,0,g1V1091FC09OG2000000
Emilia-Romagna,2737,31107,2970,571,3346,0,g1V1091FC09OG2000000
Toscana,1570,16605,1465,1040,2090,28,g1V1091FC09OG2000000
Umbria,241,3302,576,541,1253,0,g1V1091FC09OG2000000
Marche,480,7876,667,131,1812,0,g1V1091FC09OG2000000
Lazio,2308,15640,2934,1258,3018,0,g1V1091FC09OG2000000
Abruzzo,185,4677,850,473,177,0,g1V1091FC09OG2000000
Molise,242,1427,17,197,27,0,g1V1091FC09OG2000000
Campania,726,6102,1567,694,1519,0,g1V1091FC09OG2000000
Puglia,1483,9813,1126,1013,1347,0,g1V1091FC09OG2000000
Basilicata,363,2113,323,300,189,0,g1V1091FC09OG2000000
Calabria,527,3912,528,699,1494,0,g1V1091FC09OG2000000
Sicilia,4048,13807,1696,3032,4281,61,g1V1091FC09OG2000000
Sardegna,661,6159,575,415,780,0,g1V1091FC09OG2000000
Piemonte,249.7,3898.3,142.9,14.3,32.2,0,g1V1091FI09OG2000000
Valle d'Aosta / Vallée d'Aoste,186.4,3590.2,55.2,146.6,92.7,0,g1V1091FI09OG2000000
Liguria,343.1,2894.7,183.2,86.2,81.4,0,g1V1091FI09OG2000000
Lombardia,172.3,3027,92.7,39.4,50.9,0.1,g1V1091FI09OG2000000
